"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2015-05-07",0,FALSE,"596299596675960832",FALSE,NA,NA,"596279396383633408","aajtak","42606652",0,FALSE,"satishsudhakar","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@aajtak @narendramodi @OfficeOfRG <U+0930><U+093E><U+0939><U+0941><U+0932> <U+091C><U+0940> <U+092A><U+0939><U+0932><U+0947> <U+0926><U+093F><U+0928> <U+0938><U+0947> <U+0939><U+0940><U+0902> Tutter <U+092A><U+0930> <U+0907><U+0924><U+0928><U+0940> <U+0918><U+091F><U+093F><U+092F><U+093E> <U+092C><U+092F><U+093E><U+0928><U+092C><U+093E><U+091C><U+0940> <U+0905><U+092C> <U+0924><U+094B> <U+0915><U+093F><U+0938><U+093E><U+0928><U+094B> <U+0915><U+094B> <U+092C><U+0930><U+0917><U+0932><U+093E><U+0928><U+093E> <U+092C><U+0902><U+0926> <U+0915><U+0930><U+0947><U+0902>",FALSE
"2015-05-07",0,FALSE,"596299594511712256",TRUE,NA,NA,NA,NA,NA,28,FALSE,"madhav9nath1","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Neelam_Soti: .@narendramodi ji if u speak on killings of Hindus in Nadia that will trigger a national debate on plight of Hindus.That w<U+2026>",FALSE
"2015-05-07",0,FALSE,"596299590904582145",TRUE,NA,NA,NA,NA,NA,14,FALSE,"madhav9nath1","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Neelam_Soti: .@narendramodi ji opposition made fake church attacks a matter of national debate. Why can't BJP trigger a debate on real <U+2026>",FALSE
"2015-05-07",0,FALSE,"596299587066798081",TRUE,NA,NA,NA,NA,NA,23,FALSE,"madhav9nath1","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Neelam_Soti: .@narendramodi ji u issued statements assuring security of minorities. Please also issue a statement giving assurance to N<U+2026>",FALSE
"2015-05-07",0,FALSE,"596299584831246336",TRUE,NA,NA,NA,NA,NA,7,FALSE,"rajperodi","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MeenaDasNarayan: Excellent work @nitin_gadkari sir, your #KarnatakaRoadPlans make us so proud as do your other plans Bravo @narendramodi",FALSE
"2015-05-07",0,FALSE,"596299580087480320",TRUE,NA,NA,NA,NA,NA,7,FALSE,"Mayuramr","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","RT @BloombergTVInd: Sources to @BloombergTVInd: PM, @narendramodi to chair infrastructure review meeting today. http://t.co/LAIQdRIUKP",FALSE
"2015-05-07",0,FALSE,"596299576635576320",TRUE,NA,NA,NA,NA,NA,28,FALSE,"SamarHindustan","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Neelam_Soti: .@narendramodi ji if u speak on killings of Hindus in Nadia that will trigger a national debate on plight of Hindus.That w<U+2026>",FALSE
"2015-05-07",0,FALSE,"596299568431534080",TRUE,NA,NA,NA,NA,NA,4,FALSE,"ProfSuryaDeva","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @aruna_sekhar: In which I write an open letter to @narendramodi on how there can be no development w/o dialogue http://t.co/M2S7skAmnx #<U+2026>",FALSE
"2015-05-07",0,FALSE,"596299566556712960",FALSE,NA,NA,"596299161340760064","tamhanespeaks","74938726",0,FALSE,"tripathitweet28","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","What is the purpose which it served already?
@tamhanespeaks @Aravind8 @sanchit30 @Gubomaster @ShahapurkarAnil @Neelam_Soti @narendramodi",FALSE
"2015-05-07",0,FALSE,"596299565373857792",TRUE,NA,NA,NA,NA,NA,19,FALSE,"sameer0924","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","RT @Neelam_Soti: .@narendramodi ji security is prerequisite of development. If Hindus are not secure what will they do of development?",FALSE
